epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.2062,1.95237,3.91397,2.01997,0,0,0,0,nan,nan,nan,0.070566,0.00327044,0.00327044
2,66.4524,2.22509,2.97183,2.28261,3e-05,0.01111,1e-05,1e-05,nan,nan,nan,0.0405653,0.00660306,0.00660306
3,98.1016,2.02689,2.66889,2.10954,0.00028,0.01111,4e-05,2e-05,4.71759,252.637,8.80184,0.0105617,0.00993279,0.00993279
4,130.904,1.95974,2.52962,2.0597,0.40708,0.02089,0.00799,0.00348,2.80137,18.5406,3.45026,0.00999023,0.00999023,0.00999023
5,162.951,1.84474,2.29987,1.93414,0.19685,0.40156,0.22691,0.11284,2.08748,4.06257,2.37708,0.00998264,0.00998264,0.00998264
6,195.592,1.78909,2.24678,1.89351,0.2837,0.46875,0.31276,0.15053,1.78781,3.39752,2.04021,0.00997288,0.00997288,0.00997288
7,228.578,1.71786,2.10672,1.7994,0.18693,0.27536,0.11964,0.04123,2.46014,7.73314,2.79539,0.00996097,0.00996097,0.00996097
8,260.872,1.77767,2.14776,1.85508,0.55124,0.36804,0.4367,0.22883,1.91344,2.52724,2.05572,0.0099469,0.0099469,0.0099469
9,293.047,1.68224,1.99066,1.74022,0.36638,0.4476,0.37381,0.21721,1.67604,2.86782,1.86533,0.00993068,0.00993068,0.00993068
10,325.121,1.64629,1.97452,1.73349,0.60985,0.40839,0.48678,0.28522,1.60126,1.88521,1.71767,0.00991232,0.00991232,0.00991232
11,357.437,1.64513,1.89229,1.70132,0.52071,0.31313,0.30558,0.1525,2.03946,2.91472,2.24307,0.00989183,0.00989183,0.00989183
12,389.983,1.6525,1.93931,1.70342,0.5137,0.47043,0.51724,0.2969,1.66569,1.83719,1.74037,0.00986922,0.00986922,0.00986922
13,422.865,1.57502,1.85265,1.65049,0.64482,0.49027,0.5636,0.35706,1.41261,1.5976,1.59812,0.00984449,0.00984449,0.00984449
14,455.529,1.60889,1.82271,1.67749,0.57764,0.49681,0.53718,0.33533,1.4748,1.68621,1.64005,0.00981765,0.00981765,0.00981765
